time_step,station_id,is_parallel,cycle_time,queue_length,throughput,torque_nm,vibration_hz,temperature_c,equipment_wear,ambient_humidity,part_defect_risk,bottleneck_risk,defect_risk
0,1,0,45.81401273114065,2,9.966806599933456,47.626524094462695,115.07050683543142,70.2765647133992,0.05190251568634273,64.97016143064025,0.05,0,0
0,2,0,45.43203352896012,3,8.806841770510907,49.34319653375364,118.46649352523434,71.13966287610347,0.08161701172078052,64.97016143064025,0.05,0,0
0,3,0,44.61562980304091,0,8.956103591765165,51.36829477744884,124.005090039061,69.97208973955881,0.05645999594556596,64.97016143064025,0.05,0,0
0,4,0,45.444825224842276,3,10.473193249460023,52.79598241627973,139.05767905316557,70.45977820734672,0.013268335213648952,64.97016143064025,0.05,0,0
0,5,0,45.666887900003424,2,8.952129397418187,,,,0.05192832958060517,64.97016143064025,0.05,0,0
0,6,0,44.27982243311518,3,9.09327933142007,52.054007924378325,130.74145176108541,69.1706809453097,0.012486464555869659,64.97016143064025,0.05,0,0
0,7,0,44.957726033511065,2,11.468941285432393,,,,0.061940892923581514,64.97016143064025,0.05,0,0
0,8,0,45.7901795037779,4,10.457885077000014,43.593114886246866,123.3028126244901,68.73162199558264,0.027522033309199268,64.97016143064025,0.05,0,0
0,9,0,45.91652057092366,2,9.156103639656074,50.110135307744024,113.75943600147178,69.07903404398655,0.05935589506526304,64.97016143064025,0.05,0,0
0,10,0,46.961969532151855,1,9.21795217370016,52.268551178840596,128.17493015825093,72.28413940125661,0.04773157497307212,64.97016143064025,0.05,0,0
0,11,0,46.1539071260797,3,10.896630383710946,48.54821285045259,119.5321330751925,66.62966405653229,0.08245840998682749,64.97016143064025,0.05,0,0
0,12,0,45.94096917140158,2,9.225957069253496,49.10596401493469,126.92824225408751,68.46965347138226,0.04542304967521968,64.97016143064025,0.05,0,0
0,13,0,44.74919285719931,2,9.493356780368476,,,,0.066998424081247,64.97016143064025,0.05,0,0
0,14,0,46.956605939934775,1,10.914884321926012,47.62136935414729,116.48472472432779,69.30528462824512,0.023800986255750518,64.97016143064025,0.05,0,0
