timestamp,vehicle_id,station_id,event_type,cycle_time
0.0,1,S01,FACTORY_ENTRY,
0.0,1,S01,START,47.62505377611333
47.62505377611333,1,S01,FINISH,47.62505377611333
47.62505377611333,1,S01,BUFFER_EXIT,
47.62505377611333,1,S02,START,53.47765905981853
60.0,2,S01,FACTORY_ENTRY,
60.0,2,S01,START,50.883497437114556
101.10271283593187,1,S02,FINISH,53.47765905981853
101.10271283593187,1,S02,BUFFER_EXIT,
101.10271283593187,1,S03,START,172.56489898732949
110.88349743711456,2,S01,FINISH,50.883497437114556
110.88349743711456,2,S01,BUFFER_EXIT,
110.88349743711456,2,S02,START,52.413884706909386
120.0,3,S01,FACTORY_ENTRY,
120.0,3,S01,START,50.026776440516805
163.29738214402394,2,S02,FINISH,52.413884706909386
163.29738214402394,2,S02,BUFFER_EXIT,
170.0267764405168,3,S01,FINISH,50.026776440516805
170.0267764405168,3,S01,BUFFER_EXIT,
170.0267764405168,3,S02,START,53.343607078776564
180.0,4,S01,FACTORY_ENTRY,
180.0,4,S01,START,50.224707403016076
223.37038351929337,3,S02,FINISH,53.343607078776564
223.37038351929337,3,S02,BUFFER_EXIT,
230.22470740301608,4,S01,FINISH,50.224707403016076
230.22470740301608,4,S01,BUFFER_EXIT,
230.22470740301608,4,S02,START,55.4909612613175
240.0,5,S01,FACTORY_ENTRY,
240.0,5,S01,START,47.532493798390306
273.6676118232614,1,S03,FINISH,172.56489898732949
273.6676118232614,1,S03,BUFFER_EXIT,
273.6676118232614,1,S04,START,50.99069697494113
273.6676118232614,2,S03,START,173.79863099661205
285.7156686643336,4,S02,FINISH,55.4909612613175
285.7156686643336,4,S02,BUFFER_EXIT,
287.5324937983903,5,S01,FINISH,47.532493798390306
287.5324937983903,5,S01,BUFFER_EXIT,
287.5324937983903,5,S02,START,77.10761998871669
300.0,6,S01,FACTORY_ENTRY,
300.0,6,S01,START,47.98358188416732
324.6583087982025,1,S04,FINISH,50.99069697494113
324.6583087982025,1,S04,BUFFER_EXIT,
324.6583087982025,1,S05,START,45.46676714115101
347.98358188416734,6,S01,FINISH,47.98358188416732
347.98358188416734,6,S01,BUFFER_EXIT,
360.0,7,S01,FACTORY_ENTRY,
360.0,7,S01,START,51.14865893346909
364.640113787107,5,S02,FINISH,77.10761998871669
364.640113787107,5,S02,BUFFER_EXIT,
364.640113787107,6,S02,START,57.602136701886536
370.1250759393535,1,S05,FINISH,45.46676714115101
370.1250759393535,1,S05,FACTORY_EXIT,
411.1486589334691,7,S01,FINISH,51.14865893346909
411.1486589334691,7,S01,BUFFER_EXIT,
420.0,8,S01,FACTORY_ENTRY,
420.0,8,S01,START,50.26020315636613
422.24225048899353,6,S02,FINISH,57.602136701886536
447.4662428198734,2,S03,FINISH,173.79863099661205
447.4662428198734,2,S03,BUFFER_EXIT,
447.4662428198734,2,S04,START,50.59259876182123
447.4662428198734,6,S02,BUFFER_EXIT,
447.4662428198734,3,S03,START,181.3923386146217
447.4662428198734,7,S02,START,52.502034110106145
470.2602031563661,8,S01,FINISH,50.26020315636613
470.2602031563661,8,S01,BUFFER_EXIT,
480.0,9,S01,FACTORY_ENTRY,
480.0,9,S01,START,48.946939818010534
498.05884158169465,2,S04,FINISH,50.59259876182123
498.05884158169465,2,S04,BUFFER_EXIT,
498.05884158169465,2,S05,START,43.79755898862464
499.96827692997954,7,S02,FINISH,52.502034110106145
528.9469398180105,9,S01,FINISH,48.946939818010534
528.9469398180105,9,S01,BUFFER_EXIT,
540.0,10,S01,FACTORY_ENTRY,
540.0,10,S01,START,48.889868015550455
541.8564005703192,2,S05,FINISH,43.79755898862464
541.8564005703192,2,S05,FACTORY_EXIT,
588.8898680155504,10,S01,FINISH,48.889868015550455
